Name,Aadhaar,ClaimAmount,SubsidyType,Date,FraudLabel
Aradhana Munshi,074958358115,3141,Farming,2025-05-06,1
Nakul Yohannan,384701154890,18515,Housing,2025-05-14,1
Raghav Tailor,101585263231,10008,Education,2025-03-24,0
Banjeet Gupta,212439081597,15314,Equipment,2024-11-15,0
Zaid Kara,963641226472,5998,LPG,2025-06-18,0
Odika Chakrabarti,861450941382,20614,Farming,2025-03-21,0
Qabil Chaudry,197991113073,44878,Housing,2025-05-03,0
Chavvi Kari,527861095472,7391,Healthcare,2024-07-29,0
Vrinda Kalita,362452761065,15596,Equipment,2025-05-21,1
Lavanya Mutti,940366401632,5129,Healthcare,2024-10-20,0
Pranit Tripathi,397401489025,4438,LPG,2024-10-08,1
Pooja Badal,598407175247,53013,Equipment,2025-05-02,0
Krishna Jaggi,423573189959,4557,Farming,2024-08-11,0
Kabir Soman,776945314737,9349,Healthcare,2025-01-11,0
Pranit Bhasin,241598449679,36989,Equipment,2025-10-04,1
Lakshit Bhavsar,670217829598,13738,Healthcare,2025-01-20,0
Yasti Sagar,846036383968,58781,Housing,2025-03-16,0
Wakeeta Sabharwal,181889699132,18712,Healthcare,2025-10-28,1
Mahika Varty,066625833930,21904,Farming,2025-06-20,0
Suhani Mani,929126847167,3325,Education,2024-07-21,0
Geetika Kapur,558541210161,45722,Healthcare,2025-10-09,1
Hamsini Srinivas,337469833067,29201,Equipment,2024-10-17,0
Aadhya Chakraborty,571646821003,59616,Equipment,2025-02-27,0
Faraj Jha,377157899370,21621,Farming,2025-03-02,0
Kamala Bava,656602076245,19919,Education,2024-10-30,0
Laban Swaminathan,467507504612,11898,Equipment,2025-03-10,0
Yochana Parmar,676877759358,16471,Housing,2024-12-06,0
Triya Saraf,651436462969,8207,Education,2024-12-22,0
Lucky Sama,585455139196,19349,Education,2024-12-07,0
Orinder Dugar,963173338568,18743,Equipment,2025-04-19,0
Prisha Puri,103763294038,57630,Equipment,2024-12-03,0
Amaira Seth,506475661396,3428,Education,2025-03-03,0
Krisha Manne,603673361424,24371,Education,2025-10-14,1
Sachi Roy,797854550922,3731,Farming,2025-05-23,0
Frado Pandya,910708611713,55207,Equipment,2024-07-01,0
Faqid Sachdeva,587601213305,69791,Housing,2025-01-01,0
Idika Sagar,515403289262,4449,LPG,2024-11-01,0
Logan Singhal,294977565512,12767,Healthcare,2025-03-20,0
Rachit Memon,610420307353,6162,Healthcare,2024-09-12,0
Tarak Sundaram,435973098065,23120,Housing,2024-10-05,0
Dayita Palan,075988978653,13209,Housing,2025-05-11,1
Ridhi Bir,472380327055,3311,LPG,2024-09-25,0
Rajeshri Balay,382145287899,13387,Healthcare,2025-01-20,0
Chavvi Kannan,304025600413,9362,Education,2025-01-20,0
Jack Chand,154099229346,25111,Housing,2025-02-16,0
Pratyush Sandal,725123433536,15219,Education,2025-05-10,1
Nathaniel Kamdar,475878371053,11300,Healthcare,2024-09-12,0
Waida Dey,001529113717,9889,Healthcare,2024-07-30,0
Devansh Joshi,456412123899,11393,Housing,2025-05-10,0
Balhaar Walla,706493759044,89521,Housing,2024-07-27,0
Utkarsh Sastry,749383416232,5702,LPG,2024-09-07,0
Charles Jain,733090740635,9788,Education,2024-12-23,0
Triya Kumar,940572025909,21563,Equipment,2025-04-20,0
Hema Apte,482981320272,51813,Equipment,2024-12-30,0
Fariq Dhaliwal,057864810737,34795,Equipment,2024-10-28,0
Jacob Merchant,353310600531,24092,Farming,2024-08-19,0
Mitali Kamdar,863536541951,3146,Farming,2024-07-14,1
Ladli Narang,015301731671,4251,LPG,2024-12-25,0
Hemang Narayan,591179963911,63735,Housing,2025-05-25,0
Mason Zachariah,405686429617,19873,Farming,2025-02-20,0
Harish Narayan,525673391197,82547,Housing,2025-04-17,0
Nirja Mitra,313555794207,18061,Farming,2024-09-04,0
Patrick Trivedi,025215143517,17291,Farming,2025-06-08,0
Diya Arora,510021824140,1765,Healthcare,2024-07-24,0
Damyanti Mani,675289539264,42867,Equipment,2024-09-04,0
Zayyan Parekh,249543299032,2889,LPG,2024-08-25,0
Tanvi Malhotra,977248303759,38295,Housing,2024-10-18,0
Dayita Shankar,222951858976,1737,Healthcare,2025-01-11,0
Kritika Dasgupta,857439738471,43124,Equipment,2024-11-15,0
Shivani Natt,947576945353,43364,Housing,2025-02-27,0
Jason Ramanathan,982883670097,7014,LPG,2025-04-09,0
Pranav Rao,829879086865,176650,Education,2024-11-07,1
Hamsini Murty,561156862230,12540,Housing,2025-01-31,0
Maanas Sur,504932664322,17233,Equipment,2025-04-29,0
Bhavani Venkatesh,857471771556,4890,LPG,2025-06-19,0
Krisha Dara,832402308912,22387,Farming,2025-04-24,0
Qarin Goda,447696190169,22017,Farming,2024-07-13,0
Forum Bhatia,636578371510,2143,LPG,2025-01-21,0
Vasudha Dhaliwal,021237205503,3043,Farming,2024-07-11,0
Ekavir Wable,810509222161,9980,Education,2025-06-29,0
Isha Patla,698324072819,5476,LPG,2024-08-23,0
Akshay Chandran,294305044839,10481,Education,2024-10-06,0
Dhriti Thakur,360368085884,6583,LPG,2024-11-17,0
Kabir Jayaraman,248120089541,11185,Farming,2024-09-11,0
Kala Solanki,177446083486,5234,LPG,2025-03-07,0
Vinaya Natarajan,570154303911,6707,Farming,2025-04-26,1
Dakshesh Dhillon,940872047659,12043,Education,2025-04-10,0
Dipta Pandya,015153259479,1707,LPG,2024-11-22,0
Shaurya Sarna,114358304077,54326,Equipment,2025-01-04,0
Aadi Madan,752851329097,6293,Education,2025-05-24,0
Janaki Handa,829973763116,4253,LPG,2025-02-25,0
Pranit Munshi,181698141344,31373,Equipment,2025-06-23,0
Ganga Murthy,291146786691,484422,Farming,2025-05-25,1
Yagnesh Shetty,557924991251,9718,Farming,2024-10-02,0
Devansh Mann,912266755538,13389,Farming,2024-10-15,0
Yash Chadha,232441233613,18063,Farming,2025-01-08,0
Amaira Ramanathan,387272581225,1081,Healthcare,2025-04-26,0
Rushil Sharma,433872205422,8762,Education,2025-01-09,0
Rajeshri Chand,791456083318,13140,Education,2025-04-03,0
Tara Sarin,347002539468,44961,Equipment,2025-05-11,0
Omkaar Anne,604851199065,5409,Housing,2025-05-07,1
Manthan Sengupta,441658634478,6971,Farming,2025-06-09,0
Inaya Chaudhari,115848860080,10542,Education,2025-03-22,0
Irya Sankar,221226112384,30043,Equipment,2025-01-31,0
Abdul Amble,242183854540,14164,Education,2025-02-05,0
Ria Menon,141426429306,59715,Equipment,2024-11-09,0
Anita Baria,724772139636,10060,Housing,2025-05-24,1
Gaurangi Bumb,161995942535,22177,Farming,2024-10-30,0
Harita Randhawa,185899002772,12725,Healthcare,2024-07-06,0
Meghana Deshpande,307592579776,86124,Housing,2024-07-25,0
Yuvraj Vasa,879876059127,12264,Healthcare,2024-09-09,0
Jatin Chada,449669542175,21738,Housing,2024-12-23,0
Victor Kata,194653709238,30902,Equipment,2025-03-23,0
Ekani Pandit,519085432716,16160,Equipment,2024-07-30,0
Vincent Kalita,948100112330,9555,Education,2025-04-23,0
Chandani Patla,032388767660,26298,Equipment,2024-09-23,0
Hemang Memon,475557734328,8035,Farming,2025-05-07,0
Vrinda Parmar,090719571451,5288,LPG,2024-08-20,0
Lavanya Nanda,266224776038,20720,Farming,2025-03-15,0
Yoshita Malhotra,714727039395,7663,LPG,2025-04-28,0
Chandresh Trivedi,327628908237,2497,Education,2025-04-30,0
Joshua Zachariah,637766599599,17537,Education,2025-05-06,1
Warhi Pathak,919530164728,27046,Equipment,2025-02-26,0
Krishna Anand,627244709967,3870,LPG,2025-02-18,0
Widisha Badami,651189394065,6396,LPG,2025-04-11,0
Zansi Boase,210311399552,47458,Equipment,2025-01-28,0
Balvan Butala,564663971801,19106,Farming,2024-07-23,0
Liam Dada,282313427557,51990,Housing,2025-05-07,0
Samesh Nadig,237718430192,3561,Farming,2025-01-01,0
Sathvik Chawla,493964117744,4566,Healthcare,2024-09-01,0
Gopal Bhavsar,114043000517,3830,Healthcare,2024-12-09,0
Sai Kara,822496382569,18569,Housing,2025-05-04,0
Mohini Mallick,522329623409,2223,Education,2025-01-21,0
Ekavir Dasgupta,457195549684,24159,Housing,2025-02-19,0
Balvan Dugal,081900567352,99797,Housing,2025-01-03,0
Nidhi Sethi,512957860694,13226,Education,2025-01-16,0
Sarthak Oommen,993297451165,59377,Equipment,2024-08-05,0
Rehaan Sahota,103405736891,18028,Equipment,2025-05-07,1
Ekantika Gala,762920665456,56147,Equipment,2025-02-01,0
Tara Kade,950305105094,36061,Equipment,2025-02-11,0
Faris Bassi,162593224084,5903,Equipment,2025-05-29,0
Nathan Rastogi,738152293229,70355,Housing,2024-09-28,0
Ucchal Sen,681040915701,11609,Healthcare,2024-12-07,0
Ekantika Gill,129540179559,12469,Healthcare,2025-05-07,0
Bina Mani,799167161370,11064,Education,2024-09-01,0
Ati Kapur,775204747032,2322,LPG,2024-11-22,0
Samuel Shenoy,977400970183,11148,Farming,2025-06-11,0
Jyoti Lanka,199074666974,23640,Housing,2024-08-16,0
Prisha Randhawa,951769933038,7702,Education,2025-04-25,0
Geetika Hora,799788166809,39702,Housing,2024-08-23,0
Triveni Thakur,372242823442,10371,Healthcare,2025-02-10,0
Pooja Badami,084861066002,90190,Housing,2024-11-29,0
Logan Suresh,852772217043,66687,Housing,2024-08-30,1
Rohan Buch,822189870162,21012,Equipment,2024-11-08,0
Aarush Chandra,399963691845,3240,LPG,2025-06-13,0
Brijesh Mani,110919392845,53325,Housing,2025-05-14,0
Saanvi Doctor,765672241286,6229,LPG,2025-06-24,0
Meera Prakash,649767762282,16564,Farming,2025-05-10,1
Bhavani Kara,328753189689,6798,LPG,2025-02-22,0
Zayan Kashyap,516271361115,7226,LPG,2024-09-09,0
Geetika Kapur,558541210161,98379,Housing,2025-05-28,0
Timothy Butala,025547465032,21604,Equipment,2025-03-31,0
Zilmil Hans,498601775562,19187,Farming,2025-06-24,0
Kamala Sarraf,122229095750,6564,Farming,2025-02-16,0
Omkaar Bora,858766121774,19201,Equipment,2024-08-25,0
Chandresh Nori,963083977251,13707,Healthcare,2024-10-26,0
Bishakha Issac,752262554831,7256,LPG,2024-09-27,0
Aadhya Parikh,753365989643,6616,Farming,2024-11-30,0
Pahal Desai,517372342382,14999,Farming,2024-09-18,0
Charles Agrawal,182893632786,809,Healthcare,2024-07-21,0
Omya Sengupta,035614949236,9921,Equipment,2025-05-24,1
Sathvik Krishnan,988198088451,3776,LPG,2025-02-14,0
Prisha Suri,795573815679,14853,Healthcare,2025-05-26,0
Chaman Sen,296071357966,14552,Healthcare,2025-05-10,0
Yuvraj Chacko,325962762236,3921,Healthcare,2024-09-28,0
Lajita Bassi,639719103389,14855,Farming,2024-07-07,0
Yashica Rama,326417225514,5097,LPG,2025-03-18,0
Adweta Suri,768112005655,7585,LPG,2024-07-25,0
Azaan Tank,266421476492,5825,LPG,2025-01-05,0
Unni Ghose,854336658193,19357,Farming,2024-07-01,0
Pahal Bhagat,565621929590,13494,Healthcare,2025-04-17,0
Sai Panchal,014296998857,37235,Equipment,2025-06-25,0
Yashawini Konda,146017419640,8310,Equipment,2025-04-28,0
Omaja Grover,375402547292,34442,Equipment,2024-10-02,0
Yatin Bal,150337774746,96977,Housing,2025-03-23,0
Balhaar Chauhan,530538637725,10204,Housing,2025-05-17,1
Nathan Parmar,241406029333,2870,Healthcare,2025-01-10,1
Anmol Chadha,181009825334,11799,Farming,2025-05-10,0
Ayush Rajagopalan,594626132216,3131,Healthcare,2024-07-08,0
Azad Magar,824388430217,34632,Equipment,2025-01-29,0
Pahal Bains,007379499944,4506,LPG,2025-05-25,0
Neel Chadha,924761740353,7058,Equipment,2024-12-18,0
Ekiya Baral,099734135054,15665,Education,2025-05-13,1
Ikshita Patel,880875645058,13709,Education,2024-12-11,0
Kalpit Sundaram,815061853800,6011,Farming,2025-01-09,0
Ekani Mangal,128685787255,10570,Healthcare,2025-03-11,0
Garima Behl,071796532170,2164,Healthcare,2025-03-10,0
Vamakshi Pillai,412865581675,3078,Healthcare,2025-04-02,0
Aarav Kala,196284194474,65835,Housing,2025-01-01,0
Falguni Dube,476727351071,35232,Equipment,2024-11-13,0
Charles Chauhan,220502580289,4283,LPG,2025-04-08,0
Jagat Karpe,198642423839,24646,Housing,2024-10-29,0
Suhani Malhotra,465217456589,35035,Equipment,2024-11-14,0
Barkha Bakshi,682122355216,53039,Equipment,2025-01-04,0
Chakradev Dey,653934797032,8320,Healthcare,2024-07-25,0
Aashi Gaba,954585835639,8448,Healthcare,2024-09-02,0
Balveer Bora,446834146511,15139,Education,2024-08-17,0
Bhavna Jaggi,470967608868,19699,Education,2025-05-21,0
Wridesh Kaur,127756185374,3083,LPG,2024-10-24,1
Avni Ramaswamy,054868740345,2351,LPG,2025-01-23,1
Hemani Sethi,354158929093,18622,Education,2025-06-27,0
Chaitaly Yadav,718710003003,5787,LPG,2025-06-03,0
Charan Manne,476797643815,5140,Healthcare,2025-05-25,1
Warhi Thakkar,464870707889,13571,Equipment,2025-05-09,1
Eta Desai,693406088356,7151,Education,2024-12-29,1
Ekalinga Purohit,193581514185,12462,Healthcare,2024-11-30,0
Ladli Madan,991241904966,76032,Housing,2025-05-07,1
Januja Loyal,881846744985,8228,Healthcare,2024-09-02,0
Balendra Kuruvilla,726344556582,4711,LPG,2025-04-12,0
Abha Dixit,133073453302,12308,Farming,2024-08-21,0
Neha Dani,610912827756,55134,Equipment,2024-10-06,0
Anjali Krishna,622155963743,10311,Healthcare,2025-01-29,0
Vinaya Baral,159106608623,25903,Equipment,2024-07-31,0
Siya Pant,355862552926,11825,Farming,2024-08-12,0
Rachit Borde,152771152750,67082,Housing,2024-10-13,0
Rachita Zacharia,789259465744,92324,Housing,2025-06-24,0
Ganga Ben,404777932082,10519,Healthcare,2024-08-23,0
Oni Sani,426021812995,30584,Equipment,2025-03-21,0
Nikita Batra,355469033693,2631,Education,2024-12-22,0
Pranit Kalla,928614929175,16719,Farming,2025-04-05,0
Finn Chanda,240353212440,43622,Equipment,2025-04-25,0
Oliver Ahuja,089758638040,6503,LPG,2024-08-20,0
Sara Hari,201306533239,57308,Equipment,2025-05-08,0
Alka Bhalla,128582943800,22050,Farming,2024-08-19,0
Nimrat Korpal,012028250150,3694,LPG,2025-05-11,0
Rajata Jaggi,760385977034,91347,Housing,2024-09-18,1
Ishani Dugal,866933515880,30557,Equipment,2024-07-07,0
Dhriti Subramaniam,051065688673,409348,Healthcare,2025-05-21,1
Manbir Arora,554042100149,6292,Healthcare,2024-08-26,0
Darsh Lad,974476522469,56443,Housing,2024-12-17,0
Indira Saini,122302530072,20707,Farming,2024-11-23,0
Ishwar Grewal,725168447314,88001,Housing,2025-04-12,0
Ati Lall,836702410386,3245,Farming,2024-07-25,1
Fariq Pillay,632424660472,13954,Farming,2025-05-14,1
Abhiram Soni,114100957829,6350,LPG,2024-08-15,0
Udyati Bhatia,892930907725,4832,Healthcare,2024-07-27,0
Aradhana Shroff,501235066566,17235,Education,2025-01-01,0
Ishita Garg,129982486131,2001,Education,2024-12-15,0
Yadavi Srinivasan,903722472424,4173,Farming,2025-01-21,0
Joshua Barman,492519254629,56590,Equipment,2024-12-06,0
Sai Sidhu,378689433836,43933,Equipment,2024-11-12,0
Ekansh Kamdar,446816263391,12418,Equipment,2024-12-23,0
Veer Subramaniam,677462591601,5183,Education,2025-06-29,0
Tanveer Seth,027316035024,1601,LPG,2024-10-11,0
Lekha Bava,591175331702,28074,LPG,2025-10-15,1
Nidhi Sinha,548050098516,5915,Healthcare,2024-12-10,0
Ojasvi Shah,340012762239,10696,Healthcare,2024-12-03,0
Harish Hari,403761379180,7570,LPG,2024-09-06,0
Zarna Sharma,192158189705,1869,Healthcare,2024-08-24,0
Ayushman Mammen,347243586176,2951,Healthcare,2024-12-10,0
Vihaan Sangha,688985155196,6751,LPG,2025-06-05,0
Veda Malhotra,138999404389,3235,Healthcare,2025-01-17,0
Gaurang Bhatia,889968427584,39715,Equipment,2025-01-18,0
Anay Taneja,256835962783,49394,Equipment,2025-04-12,0
Fitan Nayak,468717490955,16473,Farming,2025-04-05,0
Bina Raval,916858416511,93512,Housing,2025-06-04,0
Vamakshi Parmer,889144449835,7396,LPG,2025-04-16,0
Vansha Rajagopal,239594737213,17082,Farming,2024-07-22,0
Prisha Pradhan,794905158488,2384,Healthcare,2025-01-07,0
Saumya Nayak,875374126002,66931,Housing,2025-02-10,0
Vincent Bhat,146950935555,29831,Equipment,2024-07-22,0
Varenya Ratti,493085368663,3268,Healthcare,2025-05-07,1
Meghana Sastry,971814854362,47601,Equipment,2025-05-31,0
Nachiket Sehgal,470810148129,29350,Equipment,2025-05-12,0
Chandran Bakshi,907338210920,13181,Education,2024-08-29,0
Laban Misra,498921685098,4551,Healthcare,2025-05-15,0
Yasti Sur,959623755822,6965,Education,2024-12-04,0
Owen Din,218743096474,16259,Farming,2024-10-11,0
Yashica Cherian,909670546688,13518,Healthcare,2025-03-07,0
Aarav Choudhry,387307210269,9294,Healthcare,2025-01-05,0
Pallavi Sane,681278889012,11921,Farming,2025-05-15,0
Ladli Singh,118031968853,5334,LPG,2024-10-07,0
Krish Hora,198872634921,13856,Equipment,2024-10-13,0
Faras Karpe,811080238836,10358,Healthcare,2024-07-04,0
Hredhaan Karnik,217308068640,10169,Farming,2025-06-23,0
Avi Mittal,738240793652,9157,Healthcare,2025-04-23,0
Utkarsh Dasgupta,045208235096,8253,Healthcare,2025-03-20,0
Mekhala Batta,895428758293,6056,Equipment,2025-06-16,0
Veer Mody,344190128029,7465,Education,2025-04-21,0
Ekani Lalla,711070686864,99288,Housing,2024-12-05,0
Isha Bala,534949375973,5446,Healthcare,2025-03-25,1
Chaitanya Chhabra,149406988352,2431,Education,2025-02-22,0
Simon Bail,117908075957,13097,Healthcare,2025-03-09,0
Noah Ramachandran,398313549014,6538,LPG,2025-05-09,0
Ladli Nazareth,973446850094,65496,Housing,2024-11-11,0
Nitara Garde,776582807273,5036,LPG,2025-02-12,0
Varsha Shere,830930967139,4910,LPG,2025-05-21,1
Aarna Majumdar,805183434936,23750,Equipment,2025-10-21,1
Jatin Purohit,960106658978,13803,Equipment,2024-12-06,0
Guneet Varty,641605297516,2364,LPG,2025-06-19,1
Shivansh Lalla,645403002143,47414,Housing,2025-04-15,0
Reyansh Pradhan,728265933804,14814,Education,2025-05-10,0
Oscar Samra,154083563014,40218,Equipment,2024-08-22,0
Nidhi Behl,395700168451,13021,Equipment,2024-11-16,0
Falan Talwar,260213180666,1864,LPG,2025-05-24,0
Isaac Dey,718466090351,19813,Equipment,2024-07-27,0
Urvashi Luthra,352841415307,54727,Equipment,2025-04-06,0
Zansi Grewal,369851676559,14115,Healthcare,2025-04-24,0
Ranbir Sahota,504205986856,6958,Healthcare,2024-08-09,0
Yug Mohanty,319590357906,17582,Farming,2024-11-14,0
Amrita Sandal,465808682161,21991,Farming,2024-12-18,0
Janaki Handa,829973763116,7967,Equipment,2025-05-07,1
Veer Mody,344190128029,5627,Farming,2025-05-06,1
Falak Pal,871319728580,21076,Farming,2024-07-01,0
Manan Sha,703220074859,76151,Housing,2024-11-08,0
Yachana Ramachandran,900288073383,7874,Equipment,2024-07-25,0
Amruta Jayaraman,800719210714,1605,Healthcare,2025-04-05,0
Zarna Shetty,524041574733,4431,Healthcare,2025-04-14,0
Jagrati Devan,772121227642,17406,LPG,2025-05-21,1
Eesha Bir,434123016049,57308,Equipment,2025-02-03,0
Omkaar Krish,029983557087,4441,LPG,2024-12-15,0
Manthan Kohli,649271672969,6020,Education,2025-01-14,0
Chaman Ahluwalia,358870432080,19593,Equipment,2025-02-01,0
Saksham Dutta,170305687094,4332,Education,2025-06-23,0
Kevin Manne,256246775166,51817,Equipment,2025-01-25,0
Fariq Virk,385900861151,36158,Housing,2024-09-05,0
Upkaar Grewal,933529042284,15554,Education,2024-12-14,1
Mahika Apte,160278634876,6172,LPG,2024-08-18,0
Tanmayi Mannan,348596357223,9671,Equipment,2024-09-03,0
